Title,Description,Published Date,Location,URL
Studentermedhjælpere til Sekretariat for kundeledelse og rådgivning,"Brænder du for demokrati, mangfoldighed og udvikling? Og vil du være med til at gøre en forskel indenfor by- og boligudvikling?",2024-04-09,København SV,https://www.jobindex.dk/vis-job/h1458754
Bygningskonstruktør/Byggetekniker,"Vi søger en bygningskonstruktør eller en byggetekniker, der kan indgå i vores bygningsteam. Du får en varieret hverdag, hvor du som generalist skal varetage varierede opgaver i samarbejde med dine kollegaer.",2024-04-09,Aabenraa,https://www.jobindex.dk/vis-job/h1458751
Udekørende Service Tekniker til det Sydlige Midtjylland,"Er din dag vellykket, hvis du kan holde maskinerne i gang, og hvis kunderne er tilfredse med dit arbejde? Nyder du som servicetekniker at samarbejde om den daglige planlægning med et team af interne kolleger? ",2024-04-09,unknown,https://www.jobindex.dk/vis-job/h1458749
Salgskonsulent til Ford og brugte biler i Holstebro,"Kan du sælge Ford? Og er du lige så skarp til at sælge brugte biler? Så er det måske dig, vi har brug for!",2024-04-09,Holstebro,https://www.jobindex.dk/vis-job/h1458746
Specialarbejdere til spændende anlægsprojekter,"Vi har travlt og søger specialarbejdere til spændende anlægsprojekter i og omkring Silkeborg. Har du erfaring fra entreprenørbranchen, så er det måske dig, vi søger.",2024-04-09,unknown,https://www.jobindex.dk/vis-job/h1458745
Project Coordinator,,2024-04-09,Kvistgård,https://www.jobindex.dk/vis-job/h1458744
Juridisk studentermedhjælper til Retshjælpsafdelingen i Topdanmark,"Har du lyst til at blive en del af en unik afdeling, at få kompetencer inden for retshjælpsforsikring og suge erfaring til dig fra et af Danmarks større forsikringsselskaber?",2024-04-09,Ballerup,https://www.jobindex.dk/vis-job/h1458743
Jurist til Legal Tech,"Har du erfaring med familie- og arveret, køberrådgivning eller erhvervs- og selskabsret kan vi tilbyde dig en spændende stilling, hvor du har mulighed for at specialisere dig indenfor flere juridiske fagområder.",2024-04-09,København S,https://www.jobindex.dk/vis-job/h1458742
Key Account Manager søges til stærk private label-spiller indenfor personlige plejemidler,Er du drevet af at skabe salgsresultater? Drømmer du om at komme med på en vækstrejse? Og brænder du for at sikre såvel virksomhedens som dine kunders succes?,2024-04-09,Silkeborg,https://www.jobindex.dk/vis-job/h1458741
Dataanalytiker med interesse for mobilitet og transport,"Hvis du interesserer dig for mobilitet og er dygtig til at analysere og omsætte data til klare anbefalinger til, hvordan vi kan arbejde med kundeoplevelsen og skabe vækst, så synes vi du skal læse videre.",2024-04-09,Taastrup,https://www.jobindex.dk/vis-job/h1458740
Sales Executive til Markedsledende Vækstvirksomhed,"Er du passioneret for salg og rådgivning af innovative digitale løsninger? Drømmer du om at være en del af en virksomhed, der er i fuld gang med en spændende vækstrejse? Hos Byggefakta har du muligheden for at bidrage til vores succes og være med til at forme fremtiden for byggebranchen.",2024-04-09,Glostrup,https://www.jobindex.dk/vis-job/h1458738
Procesoperatør,Til styrkelse af vores produktion af møtrikker søger vi en procesoperatør til fast aftentur.,2024-04-09,Langeskov,https://www.jobindex.dk/vis-job/h1458736
"Salgskonsulent Byg Divisionen i København, Storkøbenhavn og Midtsjælland","Vil du være en del af en førende virksomhed i positiv udvikling, og brænder du for det rådgivende og værdiskabende salg? Vi har brug for at styrke vores salgsteam med en kollega med erfaring fra byggepladser.",2024-04-09,unknown,https://www.jobindex.dk/vis-job/h1458735
Tømrersvend,"Der er høj efterspørgsel på vores ydelser, og vi søger derfor Tømrersvende/makkerpar til fast arbejde i Glostrup-området.",2024-04-09,Glostrup-området,https://www.jobindex.dk/vis-job/h1458734
Teknisk funderet og serviceminded kollega til 2. level IT-support,Brænder du for værdiskabende IT-support og imødekommende service?,2024-04-09,København Ø,https://www.jobindex.dk/vis-job/h1458733
Social- og sundhedshjælper til aftenvagt på Asmundshøj,"Hvis du har en passion for at skabe trygge og støttende rammer for mennesker med svær demens, så er det dig vi har brug for!",2024-04-09,Fredensborg,https://www.jobindex.dk/vis-job/h1458732
Mekaniker,Vi søger en stabil og erfaren automekaniker til en stilling på 37 timer om ugen.,2024-04-09,Søborg,https://www.jobindex.dk/vis-job/h1458729
Sengerådgiver til butikken i Odense V,"Er DU vores nye stjerne på salgsgulvet, der kan gøre en forskel for alle de kunder du rådgiver frem til den helt rigtige sengeløsning?",2024-04-09,unknown,https://www.jobindex.dk/vis-job/h1458727
Tømrersvend,"Der er høj efterspørgsel på vores ydelser, og vi søger derfor tømrersvende/makkerpar til fast arbejde i Glostrup-området.",2024-04-09,unknown,https://www.jobindex.dk/vis-job/h1458726
HabitusHusene Sct. Mortensgaard søger pædagogiske medarbejdere,"HabitusHusene Sct. Mortensgaard består af ét botilbud og tre solisttilbud. Lige nu mangler vi enkelte medarbejdere på flere matrikler, og derfor søger vi pædagogiske medarbejdere, der har lyst til at arbejde i et fast team omkring borgeren – 1:1 eller 2:1 normering. ",2024-04-09,Hurup Thy,https://www.jobindex.dk/vis-job/h1458725
Category Manager,"Forhandling og Category Management er nøgleord i processen med at tilpasse strategien for materialekøb, for at sikre, at CBRE GWS & CBRE Teknisk servicepartner har de rigtige leverandører engageret til at levere den bedst mulige service og materialer til vores kunder. ",2024-04-09,Aalborg,https://www.jobindex.dk/vis-job/h1458722
Vil du sælge biler? Bliv salgstrainee hos Bjarne Nielsen i Herning,"Vi søger en salgstrainee, der drømmer om at arbejde med biler og have en karriere i bilbranchen. Her får du en spændende hverdag, hvor ingen dage er ens.",2024-04-09,Herning,https://www.jobindex.dk/vis-job/h1458721
Forsikringsrådgiver til GF Forsikring i Haderslev,"Som forsikringsrådgiver hos os får du ansvar for at rådgive og sælge til nye og eksisterende medlemmer. Kontakten til medlemmerne foregår primært via telefon og mail, og du får også mulighed for at holde møder med nye og eksisterende medlemmer i forsikringsbutikken i Haderslev. ",2024-04-09,unknown,https://www.jobindex.dk/vis-job/h1458720
Kundekonsulent,Bliv en del af NRGis prisvindende kundecenter!,2024-04-09,Horsens,https://www.jobindex.dk/vis-job/h1458719
Reservedelssælger,"Er du vores nye og dygtige reservedelssælger, der ønsker en spændende og afvekslende hverdag?",2024-04-09,Aalborg,https://www.jobindex.dk/vis-job/h1458718
ABA serviceleder til brand & sikring,"Som serviceleder har du fokus på at kommunikere effektivt, forstå og imødekomme kundens behov samt sikre den rigtig retning for teamet.",2024-04-09,Glostrup,https://www.jobindex.dk/vis-job/h1458717
Administrerende sygehusdirektør Esbjerg Grindsted Sygehus,Sammen med den lægelige direktør og den sygeplejefaglige direktør udgør du som administrerende sygehusdirektør den øverste ledelse på Esbjerg Grindsted Sygehus. Sygehusdirektionen refererer til regionsdirektøren i Region Syddanmark.,2024-04-09,unknown,https://www.jobindex.dk/vis-job/h1458715
Data Governance Analyst til data drevet forretningsudvikling hos Wrist,"Brænder du for at optimere en forretning gennem data? Er du ambitiøs og passioneret omkring at skabe solide masterdata, der effektivt understøtter forretningen og skaber bedre performance samt nye forretningsmuligheder?",2024-04-09,Nørresundby,https://www.jobindex.dk/vis-job/h1458714
2 terminalarbejdere til kranafdelingen - Greve,"Vi søger to friske terminalarbejdere, der kan lide at tage fat og tage ansvar for opgaverne – også når det går stærkt.",2024-04-09,unknown,https://www.jobindex.dk/vis-job/h1458713
Severin i Middelfart søger erfaren Konferencechef,"Som Konferencechef bliver din primære opgave at drive, lede og tage del i Severins receptions- og konferenceafdeling. Dine ansvarsområder vil spænde fra salg af traditionelle møder og konferencer, fester og overnatninger, til ledelse af vores dygtige stærke team. Sammen med teamet og resten af huset skal du sikre enestående gæsteoplevelser for alle der besøger vores hus.",2024-04-09,unknown,https://www.jobindex.dk/vis-job/h1458707
HabitusHuset Gødstrup søger vågen nattevagt til botilbud i Herning,"Trives du med natarbejde? Brænder du for at støtte og udvikle mennesker med særlige behov? Og drømmer du om en arbejdsplads, hvor din viden og nysgerrighed bliver værdsat? Så er du kommet til det rette sted.",2024-04-09,Herning,https://www.jobindex.dk/vis-job/h1458706
Forlev Friskoles Børnehus søger medarbejdere,Vi har 2 ledige stillinger med start senest 1. juni,2024-04-09,Vemmelev,https://www.jobindex.dk/vis-job/h1458703
Tavlemontør til elektriske styretavler,"Kan du se dig selv arbejde med elektriske styretavler? Ønsker du en hverdag med stor medbestemmelse og gode kolleger, så er det nu, at du skal med på holdet!",2024-04-09,Hedensted,https://www.jobindex.dk/vis-job/h1458701
Vi søger en værkførerassistent,Give Trailer Service er et af nordens førende værksteder inden for reparation af blokvogne & specialtrailere til bl.a. vindmølleindustrien. Vi har meget travlt og søger en værkførerassistent.,2024-04-09,Give,https://www.jobindex.dk/vis-job/h1458700
Financial Controller – sparringspartner for CFO,Som Financial Controller får du et betydeligt ansvar for virksomhedens regnskabsstyring i tæt samarbejde med CFO.,2024-04-09,Kongens Lyngby,https://www.jobindex.dk/vis-job/h1458699
Senior Business Developer,"You will embark on an exciting journey, traveling to various global locations to fulfill our commitments with customers and sales teams. This global role offers flexibility, as it can be based anywhere in Europe.",2024-04-09,"Bjerringbro, Almere, Aartselaar, Truccazzano, or Algete",https://www.jobindex.dk/vis-job/h1458696
Genopslag! Pædagog til Børneinstitutionen Novas børnehavegruppe,"Vi drager omsorg og støtter hinanden i en daglig pædagogisk praksis, hvor vi hver dag oplever at gøre en forskel og har en særlig betydning for vores børn og familier.",2024-04-09,Greve,https://www.jobindex.dk/vis-job/h1458695
Grib en spændende mulighed og bliv Executive Assistant for vores CEO,"Du bliver et vigtigt bindeled i organisationen og en tæt sparringspartner for vores CEO. Det kræver, at du har mod på at gribe det ansvar og de mange bolde, der bliver sendt din vej, og formår at agere tovholder i en dynamisk og til tider hektisk dagligdag - hvis det lyder som noget for dig, så har du her en fremragende mulighed for både faglig og personlig udvikling i en spændende rolle.",2024-04-09,Åbyhøj,https://www.jobindex.dk/vis-job/h1458694
Maskinfører til 30 tons gravemaskine,"Vi tilbyder 4 dags arbejdsuge, gode kollegaer, firmabil og en ledig 30 tons gravemaskine. Der er GPS/3D i maskinen - har du helt tjek på det, er det super, og hvis ikke, så står vi klar med oplæring.",2024-04-09,Silkeborg,https://www.jobindex.dk/vis-job/h1458692
